id,lat,lon,area,regions1,regions2
531,47.46,15.64,78.9,4,4
532,47.14,15.72,94,2,4
533,46.84,15.45,80,2,4
534,46.7,15.37,263,2,4
535,46.96,15.79,29,2,4
536,47.22,14.58,199,4,4
537,46.71,15.2,14.5,4,4
538,46.77,14.9,6.4,4,4
539,47.05,15.27,50,2,4
540,46.76,15.22,56,2,4
541,46.94,15.22,48,2,4
542,46.73,12.56,172,4,4
543,46.81,12.51,373,4,4
544,47.02,12.23,107,4,4
545,46.97,12.47,35,4,4
546,47.12,12.51,39.3,4,4
547,47.21,12.6,59.9,4,4
548,46.95,12.61,518,4,4
549,46.85,12.32,270,4,4
550,46.96,12.79,47,4,4
551,47.02,12.51,14.2,4,4
552,46.77,12.88,1188,4,4
553,46.96,12.37,283,4,4
554,46.96,12.84,56.8,4,4
555,46.74,12.42,62.2,4,4
556,46.77,12.82,1876,4,4
557,46.79,13.14,2080,4,4
558,46.83,13.2,6.9,4,4
559,46.84,13.33,2563,4,4
560,47.05,13.36,85.3,4,4
561,46.84,13.7,359,4,4
562,46.94,13.25,9.3,4,4
563,46.78,13.68,287,4,4
564,46.69,12.65,146,4,4
565,46.68,12.93,346,4,4
566,46.67,13.06,590,4,4
567,46.66,13.54,75.2,4,4
568,46.68,13.74,905,4,4
569,46.49,14.28,20.7,4,4
570,46.51,14.29,44,4,4
571,46.53,14.71,194,4,4
572,46.77,14.08,200,4,4
573,46.84,14.05,231,4,4
574,46.84,14.19,435,4,4
575,46.9,14.61,474,4,4
576,46.94,14.57,130,4,4
577,46.75,14.37,315,4,4
578,46.77,14.54,433,4,4
579,46.57,14.34,14.6,4,4
580,46.66,14.21,19.2,4,4
581,46.68,14.35,201,4,4
582,46.6,14.58,819,4,4
583,46.53,14.41,2512,4,4
584,46.96,14.77,380,4,4
585,46.72,14.96,961,4,4
586,46.59,13.82,139,4,4
587,46.69,14.31,1230,4,4
588,46.85,13.52,190,4,4
589,46.81,13.33,3713,4,4
590,46.68,14.04,91.1,4,4
591,46.85,14.38,68,4,4
592,46.78,14.35,108,4,4
593,46.9,14.13,144,4,4
594,46.78,14.86,55.9,4,4
595,46.7,14.24,87.2,4,4
596,46.58,14.26,57.4,4,4
597,46.9,14.66,72.8,4,4
598,46.96,14.89,199,4,4
599,46.87,14.84,709,4,4
600,46.79,14.73,28.1,4,4
601,46.83,14.36,1070,4,4
602,47.04,14.29,162,4,4
603,47.2,16.37,118,2,4
604,47.38,11.11,5236,4,4
605,46.89,10.61,55,4,4
606,47.29,10.83,882,4,4
607,47.09,10.83,13.1,4,4
608,47.16,11.22,281,4,4
609,47.29,11.88,16,4,4
610,47.52,11.83,15,4,4
611,47.47,11.8,13,4,4
612,46.74,12.84,663,4,4
613,46.89,12.22,35.2,4,4
614,47.22,9.7,861,4,4
615,47.36,10.06,97.6,4,4
616,47.52,9.87,695,4,4
617,47.35,12.87,150,4,4
618,46.9,9.99,39.4,4,4
619,47.22,9.65,68.9,4,4
620,46.94,9.99,29.3,4,4
621,46.96,10.43,40.4,4,4
622,47.74,12.16,9640,4,4
623,47.22,10.28,57.2,4,4
624,47.19,9.58,1282,4,4
625,47.3,9.69,1272,4,4
626,47.33,9.91,51.1,4,4
627,47.53,9.85,114,4,4
628,47.47,9.85,77.5,4,4
629,47.44,9.92,197,4,4
